epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,16368.7,1.56598,0.7226,1.16771,0.89044,0.86152,0.90668,0.38883,1.93661,0.87623,1.34438,6.734e-06,6.734e-06,6.734e-06
69,16611.4,1.55276,0.71872,1.17259,0.88998,0.86107,0.90645,0.39053,1.93258,0.87662,1.34342,6.536e-06,6.536e-06,6.536e-06
70,16850.1,1.55158,0.7151,1.16361,0.88961,0.86126,0.90638,0.3908,1.93253,0.87702,1.34374,6.338e-06,6.338e-06,6.338e-06
71,17087.3,1.54463,0.71387,1.16555,0.8895,0.86187,0.90642,0.39088,1.93435,0.87625,1.34507,6.14e-06,6.14e-06,6.14e-06
72,17325.1,1.54775,0.71365,1.16734,0.88969,0.86194,0.90632,0.39086,1.93566,0.87592,1.34568,5.942e-06,5.942e-06,5.942e-06
73,17570.2,1.54256,0.71061,1.17151,0.88986,0.86181,0.90598,0.392,1.93353,0.87398,1.34479,5.744e-06,5.744e-06,5.744e-06
74,17812.3,1.54679,0.71478,1.16339,0.8893,0.86215,0.90603,0.39189,1.93457,0.87313,1.34475,5.546e-06,5.546e-06,5.546e-06
75,18051.2,1.54797,0.71092,1.16368,0.88955,0.86216,0.90608,0.39146,1.93574,0.87258,1.34523,5.348e-06,5.348e-06,5.348e-06
76,18289.5,1.54747,0.71096,1.16434,0.88952,0.86202,0.90587,0.39173,1.93552,0.87134,1.34504,5.15e-06,5.15e-06,5.15e-06
77,18530.3,1.53799,0.70519,1.16561,0.8893,0.86168,0.9056,0.3914,1.93691,0.87131,1.34579,4.952e-06,4.952e-06,4.952e-06
78,18773.5,1.53523,0.70337,1.1686,0.88842,0.86132,0.90508,0.39201,1.9356,0.87158,1.34511,4.754e-06,4.754e-06,4.754e-06
79,19014.7,1.53737,0.70391,1.16409,0.88851,0.86127,0.90509,0.39157,1.93697,0.87141,1.34563,4.556e-06,4.556e-06,4.556e-06
80,19248,1.54411,0.70653,1.15438,0.88814,0.86104,0.90478,0.39189,1.93731,0.87111,1.34613,4.358e-06,4.358e-06,4.358e-06
81,19485.5,1.54151,0.70603,1.159,0.88787,0.86086,0.90455,0.39198,1.93784,0.87138,1.34651,4.16e-06,4.16e-06,4.16e-06
82,19726.3,1.53103,0.70117,1.1622,0.88777,0.86079,0.90455,0.39197,1.93805,0.87147,1.34705,3.962e-06,3.962e-06,3.962e-06
83,19965.3,1.53007,0.7013,1.15769,0.88851,0.86038,0.90447,0.39233,1.93805,0.87048,1.3473,3.764e-06,3.764e-06,3.764e-06
